project,regime,mean_margin_variance,p95_margin_variance,mean_adjustment_count,p95_adjustment_count,mean_max_exposure,p95_max_exposure
building,DAM,2.243288842288581e-06,5.9159292067437125e-06,5.683333333333334,9.0,0.005795261117882042,0.01018212407495435
building,FIDIC 13.8,2.083301269705037e-06,5.6759431388321715e-06,17.0,17.0,0.002474205203400965,0.004265434338685632
building,Fixed-price,2.2859276496139077e-06,6.225123095748554e-06,0.0,0.0,0.0,0.0
road,DAM,8.248354727798096e-06,1.8444896690292427e-05,5.82,9.0,0.004636430494323259,0.007967878855376342
road,FIDIC 13.8,7.971504381260989e-06,1.8106454545543948e-05,23.0,23.0,0.0053074861508299875,0.008128899974662455
road,Fixed-price,8.5525329994388e-06,1.9648671801366614e-05,0.0,0.0,0.0,0.0
water,DAM,4.437987124978845e-06,9.656929814749335e-06,5.795833333333333,9.0,0.005796676797164557,0.010023499705638969
water,FIDIC 13.8,4.297909154887723e-06,9.276092466790125e-06,19.0,19.0,0.0038529594694938166,0.005671143660795507
water,Fixed-price,4.680626145899273e-06,9.971086337620479e-06,0.0,0.0,0.0,0.0
