project,regime,margin_variance,budget_variance,adjustment_count,cap_hit_count,worst_margin,max_employer_exposure
road,Fixed-price,1.3997938476332677e-05,0.00033542034092931295,0,0,-0.013705419320251593,0.0
road,FIDIC 13.8,1.2386174953306553e-05,0.00034078111125636557,23,0,-0.012445281245689166,0.006219539807803177
road,DAM,1.3711297589721623e-05,0.0003349375066512357,7,6,-0.013705419320251593,0.0018207575689294917
building,Fixed-price,4.2156239023117475e-06,0.0005986727930748318,0,0,-0.007312562678727028,0.0
building,FIDIC 13.8,3.7201538450998967e-06,0.0006046323169690138,17,0,-0.006946876446029732,0.00273380622229773
building,DAM,3.803469228559665e-06,0.0006023476211967988,6,4,-0.006912374527988721,0.0018702829215143353
water,Fixed-price,4.151942067138328e-06,0.00048164199027883126,0,0,-0.006544391737508676,0.0
water,FIDIC 13.8,3.679944985022625e-06,0.0004855622135725867,19,0,-0.0063073959753472825,0.0037861242225590715
water,DAM,3.914220095493739e-06,0.00048108857057466,7,6,-0.006544391737508676,0.0020375057315891723
