date,wmvi
2017-07-01,-0.6473909434995513
2017-08-01,-0.5695694835364554
2017-09-01,-0.40111262443479123
2017-10-01,0.4145329754846018
2017-11-01,-0.16124031557678076
2017-12-01,-0.40924726845601545
2018-01-01,0.055853592230662163
2018-02-01,-0.1383816039190858
2018-03-01,0.2752742763557456
2018-04-01,0.8641770247922208
2018-05-01,1.100501677186252
2018-06-01,2.259021177801725
2018-07-01,-0.01877092086847787
2018-08-01,0.6732821163799582
2018-09-01,2.08406288695523
2018-10-01,0.15211472518277658
2018-11-01,-0.399136458716949
2018-12-01,-0.34019033308632207
2019-01-01,-0.43392382309109745
2019-02-01,-0.7578066026052166
2019-03-01,0.15556532548307034
2019-04-01,0.10493781116576717
2019-05-01,0.07889419836994938
2019-06-01,-0.8812614387096465
2019-07-01,-0.9111096337200906
2019-08-01,-0.4647780400711937
2019-09-01,-0.588686289950163
2019-10-01,-0.07453959633628116
2019-11-01,-0.3350036870903159
2019-12-01,-0.6272116168109374
2020-01-01,0.39060021392007593
2020-02-01,0.2944609250334863
2020-03-01,1.715865042145075
2020-04-01,0.6868662918562248
2020-05-01,0.6791958989898809
2020-06-01,-0.14393991310723786
2020-07-01,-0.040773374408883956
2020-08-01,0.09789455711281869
2020-09-01,0.6917183955019116
2020-10-01,0.6436105596951489
2020-11-01,0.019780439807554756
2020-12-01,-0.5108163629439602
2021-01-01,0.06511778649349781
2021-02-01,-0.6012141068015671
2021-03-01,-0.34138277607531997
2021-04-01,-0.8335784757267185
2021-05-01,-1.3026537316686064
2021-06-01,-0.46053569678566275
2021-07-01,-0.04422569581722405
2021-08-01,-0.44395188255496487
2021-09-01,-0.2706874434259129
2021-10-01,0.5758830394428236
2021-11-01,-0.5424038274762859
2021-12-01,-0.06609133708264661
2022-01-01,-0.4522389958176066
2022-02-01,-0.04535804898408999
2022-03-01,1.381905757968425
2022-04-01,-0.26356360919374316
2022-05-01,1.8323744594930984
2022-06-01,2.2387668351961403
2022-07-01,1.354476213712143
2022-08-01,1.191746869273333
2022-09-01,0.5849969014768787
2022-10-01,0.6224233769885978
2022-11-01,-0.24161733303918165
2022-12-01,-0.48229621148112023
2023-01-01,0.2580891685126137
2023-02-01,0.04294776219310842
2023-03-01,0.9892864388385672
2023-04-01,0.03418758643803024
2023-05-01,-0.2487206470375477
2023-06-01,-0.4179797758263825
2023-07-01,-0.9583451254604292
2023-08-01,0.11671320937316959
2023-09-01,0.4771770689238253
2023-10-01,-0.050448829231280634
2023-11-01,0.04906313136156765
2023-12-01,-0.38419048685428
2024-01-01,-0.030952792464209566
2024-02-01,0.6067763025341175
2024-03-01,-0.04219058469524162
2024-04-01,-1.3003425150265249
2024-05-01,-0.74971522051498
2024-06-01,-0.6099812177107719
2024-07-01,-0.5857448799809536
2024-08-01,0.3612726029340757
2024-09-01,0.022242173138406235
2024-10-01,-0.46680435638224105
2024-11-01,0.2633857097736777
2024-12-01,-0.20231892917665126
2025-01-01,0.3695374285926439
2025-02-01,-0.2347144505179729
2025-03-01,-0.48976827863841055
2025-04-01,-0.3429562099294007
2025-05-01,-0.6541123344789842
2025-06-01,-1.1216036104620541
2025-07-01,-0.7568426928063372
2025-08-01,-0.7730128305024777
2025-09-01,-1.2763182575520156
2025-10-01,-1.133008485083653
2025-11-01,1.1380269945017218
2025-12-01,-0.4486829635277964
2026-01-01,-0.6640538798959355
2026-02-01,-0.375386473663478
2026-03-01,1.9530652268959707
2026-04-01,-0.40278682521645837
