month,base_payment,cost,revenue,adjustment,margin,wmvi,employer_exposure,regime,event,cap_hit,project
2021-06-01,0.039178706729238524,0.044278419912201716,0.039211096728868904,3.2389999630379406e-05,-0.005067323183332813,-1.0234795015896792,0.000203393359204972,FIDIC 13.8,True,False,road
2021-07-01,0.045974185632400875,0.05305567695155623,0.04663253065665666,0.0006583450242557833,-0.006423146294899575,-0.17507464997800753,0.0008617383834607554,FIDIC 13.8,True,False,road
2021-08-01,0.052729796312171055,0.060904678354607444,0.052761483003253236,3.168669108218361e-05,-0.008143195351354209,-0.19241635420053954,0.000893425074542939,FIDIC 13.8,True,False,road
2021-09-01,0.0589165350490694,0.06827064509141402,0.05904858099254947,0.00013204594348006896,-0.00922206409886455,-0.16462069989965356,0.001025471018023008,FIDIC 13.8,True,False,road
2021-10-01,0.06393573469896427,0.07365585770457511,0.06367720696732035,-0.00025852773164392723,-0.009978650737254763,0.5228340253777541,0.0007669432863790808,FIDIC 13.8,True,False,road
2021-11-01,0.06722218318122622,0.07831616032421564,0.06774671323071882,0.0005245300494925934,-0.010569447093496817,-0.41469653089788716,0.0012914733358716742,FIDIC 13.8,True,False,road
2021-12-01,0.0683674721891467,0.07983349474404296,0.06847729213999637,0.000109819950849672,-0.011356202604046586,-0.21193500337216453,0.0014012932867213462,FIDIC 13.8,True,False,road
2022-01-01,0.06722218318122633,0.07975678135769146,0.06797857554964257,0.0007563923684162395,-0.011778205808048892,-0.4588434300588735,0.0021576856551375856,FIDIC 13.8,True,False,road
2022-02-01,0.06393573469896403,0.07674023015211162,0.06446535803921859,0.0005296233402545487,-0.012274872112893034,0.11903503754810331,0.0026873089953921344,FIDIC 13.8,True,False,road
2022-03-01,0.05891653504906963,0.07188335047100355,0.059617048143109884,0.000700513094040253,-0.01226630232789367,1.1020502168456427,0.0033878220894323872,FIDIC 13.8,True,False,road
2022-04-01,0.05272979631217085,0.06643521563242244,0.053989934386733274,0.0012601380745624294,-0.012445281245689166,-0.13069330358515868,0.0046479601639948165,FIDIC 13.8,True,False,road
2022-05-01,0.04597418563240099,0.058658112289027724,0.04641483262615046,0.000440646993749469,-0.012243279662877263,1.953889663512594,0.005088607157744286,FIDIC 13.8,True,False,road
2022-06-01,0.03917870672923838,0.05050978906260145,0.03949189256983315,0.000313185840594769,-0.011017896492768305,2.636389807446853,0.0054017929983390545,FIDIC 13.8,True,False,road
