trigger,gamma_up,gamma_down,cap_up,cap_down,objective,feasible,mean_ratio_fixed,mean_ratio_fidic,max_ratio_fixed,min_improvement_fixed,mean_events,max_events,max_exposure,dom_fidic_count
1.15,0.1,0.015,0.025,0.008,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
1.15,0.1,0.015,0.025,0.01,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
1.15,0.1,0.015,0.025,0.012,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
1.15,0.1,0.015,0.025,0.015,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
1.15,0.1,0.02,0.025,0.008,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
1.15,0.1,0.02,0.025,0.01,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
1.15,0.1,0.02,0.025,0.012,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
1.15,0.1,0.02,0.025,0.015,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
1.15,0.1,0.025,0.025,0.008,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
1.15,0.1,0.025,0.025,0.01,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
1.15,0.1,0.025,0.025,0.012,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
1.15,0.1,0.025,0.025,0.015,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
1.15,0.1,0.03,0.025,0.008,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
1.15,0.1,0.03,0.025,0.01,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
1.15,0.1,0.03,0.025,0.012,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
1.15,0.1,0.03,0.025,0.015,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
1.15,0.1,0.035,0.025,0.008,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
1.15,0.1,0.035,0.025,0.01,0.9977528693273368,1,0.9336415856142827,1.0636996658590945,1.034548773878049,-0.034548773878049,1.6666666666666667,2,0.002198428717672179,0
