project,regime,margin_variance,budget_variance,adjustment_count,cap_hit_count,worst_margin,max_employer_exposure,sim_id
road,DAM,7.131524452594492e-07,0.0003593155010487704,4,0,-0.0029383696932831632,0.03015090741758069,17
road,Fixed-price,1.0288719257586066e-05,0.00033542034092931295,0,0,-0.009546324739716852,0.0,18
road,FIDIC 13.8,1.6461950812137698e-06,0.0003912670310900644,23,0,-0.003818529895886741,0.07259581931758771,18
road,DAM,1.6836906370095004e-06,0.00039356647071141915,5,0,-0.004021054175156899,0.06846315415532797,18
road,Fixed-price,1.88552438149048e-05,0.00033542034092931295,0,0,-0.01227920150146393,0.0,19
road,FIDIC 13.8,3.016839010384768e-06,0.0004139314918253805,23,0,-0.004911680600585569,0.09899134506180808,19
road,DAM,4.138276445414826e-06,0.0004151918347805004,5,0,-0.005808109251258554,0.08488311099733212,19
road,Fixed-price,3.991502368899442e-06,0.00033542034092931295,0,0,-0.005855099611290042,0.0,20
road,FIDIC 13.8,6.386403790239111e-07,0.00035775777691778797,23,0,-0.0023420398445160168,0.04343498861712708,20
road,DAM,8.031875018504127e-07,0.00035538206376115766,6,1,-0.00278810379689573,0.04037212868927349,20
road,Fixed-price,5.705684084409097e-06,0.00033542034092931295,0,0,-0.00754522261642486,0.0,21
road,FIDIC 13.8,9.129094535054559e-07,0.00037481974076852847,23,0,-0.003018089046569944,0.06010685709551995,21
road,DAM,1.1706212493370183e-06,0.00037201851114392623,5,0,-0.0035498150605872275,0.056104829288949915,21
road,Fixed-price,4.795488582666685e-06,0.00033542034092931295,0,0,-0.006013488824847202,0.0,22
road,FIDIC 13.8,7.672781732266703e-07,0.00036413972851918067,23,0,-0.002405395529938882,0.04716360197601889,22
road,DAM,9.7255214143007e-07,0.0003584043418280805,5,0,-0.002842479288203789,0.04170740282253041,22
road,Fixed-price,9.517007966334376e-06,0.00033542034092931295,0,0,-0.009730292237435052,0.0,23
road,FIDIC 13.8,1.522721274613502e-06,0.00037647427760309726,23,0,-0.0038921168949740265,0.06791982589889986,23
road,DAM,1.9521033941598154e-06,0.00037721816266175176,5,0,-0.0043965191495373285,0.06031783357908841,23
road,Fixed-price,2.393137507990539e-06,0.00033542034092931295,0,0,-0.004938224651089937,0.0,24
road,FIDIC 13.8,3.829020012784866e-07,0.00036015392440567337,23,0,-0.0019752898604359775,0.039930206883079196,24
road,DAM,4.5265637543179316e-07,0.00035834889454476013,5,0,-0.002243043273491882,0.03622240057000835,24
road,Fixed-price,6.456187944463765e-06,0.00033542034092931295,0,0,-0.008092698950092791,0.0,25
road,FIDIC 13.8,1.0329900711142029e-06,0.00036338217326957576,23,0,-0.0032370795800371194,0.05011696023431584,25
road,DAM,1.06676417579703e-06,0.0003640034726490003,5,0,-0.0032989721569053887,0.04796781409880705,25
road,Fixed-price,6.054513565995443e-06,0.00033542034092931295,0,0,-0.007965338922899023,0.0,26
road,FIDIC 13.8,9.687221705592718e-07,0.0003636955866630807,23,0,-0.003186135569159615,0.050506592810012595,26
road,DAM,9.001924518914653e-07,0.0003634522324176211,6,1,-0.003186135569159615,0.04756390468063723,26
road,Fixed-price,9.55028711779018e-06,0.00033542034092931295,0,0,-0.009178254411136663,0.0,27
road,FIDIC 13.8,1.5280459388464275e-06,0.0003895506602677173,23,0,-0.003671301764454654,0.0701470478611725,27
road,DAM,1.644696990406274e-06,0.0003892615607828157,6,0,-0.003974241228881417,0.06591409673459134,27
road,Fixed-price,6.5407172250644965e-06,0.00033542034092931295,0,0,-0.007824081946976646,0.0,28
road,FIDIC 13.8,1.0465147560103192e-06,0.00037920420904134517,23,0,-0.0031296327787906503,0.0508374902017865,28
road,DAM,1.1138420776612796e-06,0.00037664413975038437,4,0,-0.0031296327787906503,0.04720371135776079,28
road,Fixed-price,8.00257129785667e-06,0.00033542034092931295,0,0,-0.00877497353348937,0.0,29
road,FIDIC 13.8,1.2804114076570698e-06,0.00038959673668639323,23,0,-0.003509989413395753,0.06560187695277712,29
road,DAM,1.2642421298031305e-06,0.00039108548967163077,5,0,-0.0035181042938583207,0.06429992154613473,29
road,Fixed-price,1.813137955168021e-05,0.00033542034092931295,0,0,-0.013131069511377935,0.0,30
road,FIDIC 13.8,2.9010207282688327e-06,0.0004044828666853758,23,0,-0.005252427804551166,0.08891813443394067,30
road,DAM,3.6098671871838464e-06,0.00040654332449201555,5,1,-0.005572975742878614,0.07912207852244292,30
road,Fixed-price,3.3720180396098455e-06,0.00033542034092931295,0,0,-0.0054511405144083425,0.0,31
road,FIDIC 13.8,5.395228863375743e-07,0.00036254816125401304,23,0,-0.002180456205763334,0.042299630099368976,31
road,DAM,7.168488455383142e-07,0.0003586361671176549,5,0,-0.002789154460992413,0.038719874438083425,31
road,Fixed-price,2.303767049601972e-06,0.00033542034092931295,0,0,-0.004580817213837782,0.0,32
road,FIDIC 13.8,3.68602727936316e-07,0.0003505368652181869,23,0,-0.0018323268855351127,0.03442303119833165,32
